n_works,instance,repetition,algorithm,ticks,time,cost,res_length
5,1,1,bottom,14,0.014,174,3
5,1,1,memo,13,0.013,174,3
5,1,2,bottom,11,0.011,174,3
5,1,2,memo,10,0.01,174,3
5,1,3,bottom,10,0.01,174,3
5,1,3,memo,11,0.011,174,3
5,1,4,bottom,11,0.011,174,3
5,1,4,memo,10,0.01,174,3
5,1,5,bottom,11,0.011,174,3
5,1,5,memo,10,0.01,174,3
5,1,6,bottom,9,0.009,174,3
5,1,6,memo,11,0.011,174,3
5,1,7,bottom,11,0.011,174,3
5,1,7,memo,9,0.009,174,3
5,1,8,bottom,10,0.01,174,3
5,1,8,memo,10,0.01,174,3
5,1,9,bottom,10,0.01,174,3
5,1,9,memo,9,0.009,174,3
5,1,10,bottom,9,0.009,174,3
5,1,10,memo,10,0.01,174,3
5,1,11,bottom,9,0.009,174,3
5,1,11,memo,10,0.01,174,3
5,1,12,bottom,10,0.01,174,3
5,1,12,memo,9,0.009,174,3
5,1,13,bottom,10,0.01,174,3
5,1,13,memo,10,0.01,174,3
5,1,14,bottom,10,0.01,174,3
5,1,14,memo,10,0.01,174,3
5,1,15,bottom,10,0.01,174,3
5,1,15,memo,9,0.009,174,3
5,1,16,bottom,9,0.009,174,3
5,1,16,memo,10,0.01,174,3
5,1,17,bottom,10,0.01,174,3
5,1,17,memo,9,0.009,174,3
5,1,18,bottom,9,0.009,174,3
5,1,18,memo,10,0.01,174,3
5,1,19,bottom,11,0.011,174,3
5,1,19,memo,9,0.009,174,3
5,1,20,bottom,11,0.011,174,3
5,1,20,memo,9,0.009,174,3
5,1,21,bottom,9,0.009,174,3
5,1,21,memo,10,0.01,174,3
5,1,22,bottom,11,0.011,174,3
5,1,22,memo,11,0.011,174,3
5,1,23,bottom,10,0.01,174,3
5,1,23,memo,11,0.011,174,3
5,1,24,bottom,10,0.01,174,3
5,1,24,memo,10,0.01,174,3
5,1,25,bottom,9,0.009,174,3
5,1,25,memo,10,0.01,174,3
5,2,1,bottom,11,0.011,134,3
5,2,1,memo,9,0.009,134,3
5,2,2,bottom,10,0.01,134,3
5,2,2,memo,10,0.01,134,3
5,2,3,bottom,10,0.01,134,3
5,2,3,memo,10,0.01,134,3
5,2,4,bottom,9,0.009,134,3
5,2,4,memo,9,0.009,134,3
