modo;vertices;aristas;duracion;densidad
basico;10;45;90844;1
basico;10;45;91784;1
basico;10;45;92248;1
basico;10;45;95444;1
basico;10;45;98812;1
basico;10;45;92544;1
basico;10;45;93484;1
basico;10;45;93344;1
basico;10;45;92232;1
basico;10;45;100240;1
basico;10;45;101740;1
basico;11;55;101952;1
basico;11;55;101284;1
basico;11;55;107264;1
basico;11;55;102752;1
basico;11;55;101256;1
basico;11;55;106268;1
basico;11;55;99620;1
basico;11;55;103796;1
basico;11;55;100608;1
basico;11;55;109860;1
basico;11;55;99076;1
basico;12;66;112184;1
basico;12;66;113240;1
basico;12;66;114900;1
basico;12;66;117292;1
basico;12;66;113200;1
basico;12;66;109964;1
basico;12;66;112112;1
basico;12;66;128276;1
basico;12;66;122284;1
basico;12;66;112744;1
basico;12;66;110244;1
basico;13;78;122132;1
basico;13;78;114216;1
basico;13;78;143564;1
basico;13;78;115316;1
basico;13;78;114560;1
basico;13;78;160476;1
basico;13;78;119532;1
basico;13;78;114936;1
basico;13;78;179356;1
basico;13;78;117204;1
basico;13;78;112152;1
basico;14;91;125916;1
basico;14;91;129788;1
basico;14;91;127772;1
basico;14;91;126648;1
basico;14;91;131956;1
basico;14;91;126376;1
basico;14;91;124712;1
basico;14;91;126544;1
basico;14;91;129360;1
basico;14;91;125844;1
basico;14;91;128788;1
basico;15;105;137968;1
basico;15;105;140896;1
basico;15;105;140296;1
basico;15;105;135724;1
basico;15;105;136644;1
basico;15;105;136956;1
basico;15;105;133680;1
basico;15;105;136624;1
basico;15;105;132204;1
basico;15;105;134744;1
basico;15;105;136056;1
basico;16;120;140788;1
basico;16;120;147624;1
basico;16;120;143412;1
basico;16;120;143240;1
basico;16;120;141248;1
basico;16;120;143200;1
basico;16;120;139584;1
basico;16;120;142352;1
basico;16;120;142624;1
basico;16;120;138452;1
basico;16;120;136688;1
basico;17;136;150636;1
basico;17;136;148188;1
basico;17;136;152804;1
basico;17;136;150192;1
basico;17;136;148972;1
basico;17;136;146936;1
basico;17;136;148272;1
basico;17;136;149864;1
basico;17;136;157308;1
basico;17;136;157768;1
basico;17;136;151108;1
basico;18;153;166360;1
basico;18;153;164600;1
basico;18;153;165004;1
basico;18;153;164880;1
basico;18;153;168136;1
basico;18;153;166172;1
basico;18;153;167228;1
basico;18;153;174036;1
basico;18;153;169972;1
basico;18;153;169964;1
basico;18;153;167436;1
basico;19;171;185808;1
basico;19;171;185696;1
basico;19;171;181200;1
basico;19;171;179152;1
basico;19;171;183516;1
basico;19;171;188244;1
basico;19;171;183628;1
basico;19;171;177664;1
basico;19;171;184120;1
basico;19;171;185184;1
basico;19;171;186032;1
basico;20;190;212340;1
basico;20;190;190276;1
basico;20;190;185828;1
basico;20;190;191788;1
basico;20;190;188136;1
basico;20;190;185960;1
basico;20;190;185296;1
basico;20;190;186140;1
basico;20;190;184232;1
basico;20;190;201668;1
basico;20;190;188476;1
basico;21;210;204344;1
basico;21;210;211640;1
basico;21;210;200624;1
basico;21;210;200980;1
basico;21;210;200372;1
basico;21;210;202436;1
basico;21;210;202220;1
basico;21;210;200632;1
basico;21;210;199448;1
basico;21;210;205148;1
basico;21;210;199884;1
basico;22;231;217928;1
basico;22;231;279268;1
basico;22;231;232012;1
basico;22;231;220316;1
basico;22;231;226452;1
basico;22;231;219864;1
basico;22;231;221656;1
basico;22;231;253400;1
basico;22;231;253572;1
basico;22;231;233668;1
basico;22;231;217556;1
basico;23;253;224352;1
basico;23;253;222236;1
basico;23;253;221252;1
basico;23;253;220700;1
basico;23;253;220668;1
basico;23;253;218952;1
basico;23;253;260240;1
basico;23;253;231572;1
basico;23;253;221416;1
basico;23;253;221152;1
basico;23;253;221256;1
basico;24;276;236332;1
basico;24;276;232812;1
basico;24;276;278352;1
basico;24;276;243652;1
basico;24;276;308012;1
basico;24;276;237380;1
basico;24;276;238884;1
basico;24;276;233308;1
basico;24;276;231608;1
basico;24;276;239540;1
basico;24;276;271292;1
basico;25;300;252100;1
basico;25;300;343172;1
basico;25;300;260204;1
basico;25;300;250704;1
basico;25;300;255080;1
basico;25;300;249700;1
basico;25;300;249668;1
basico;25;300;250292;1
basico;25;300;248632;1
basico;25;300;250660;1
basico;25;300;250044;1
basico;26;325;262104;1
basico;26;325;256884;1
basico;26;325;257008;1
basico;26;325;260244;1
basico;26;325;264276;1
basico;26;325;264156;1
basico;26;325;261844;1
basico;26;325;265120;1
basico;26;325;332832;1
basico;26;325;281216;1
basico;26;325;260452;1
basico;27;351;279976;1
basico;27;351;275704;1
basico;27;351;279636;1
basico;27;351;278436;1
basico;27;351;278716;1
basico;27;351;369196;1
basico;27;351;291528;1
basico;27;351;287168;1
basico;27;351;277608;1
basico;27;351;282556;1
basico;27;351;276208;1
basico;28;378;291692;1
basico;28;378;287036;1
basico;28;378;292324;1
basico;28;378;393276;1
basico;28;378;287616;1
basico;28;378;286496;1
basico;28;378;288568;1
basico;28;378;289968;1
basico;28;378;288044;1
basico;28;378;286076;1
basico;28;378;288724;1
basico;29;406;322924;1
basico;29;406;305892;1
basico;29;406;304392;1
basico;29;406;307352;1
basico;29;406;305184;1
basico;29;406;303012;1
basico;29;406;308372;1
basico;29;406;303688;1
basico;29;406;305320;1
basico;29;406;302868;1
basico;29;406;304892;1
basico;30;435;329084;1
basico;30;435;325752;1
basico;30;435;328848;1
basico;30;435;422448;1
basico;30;435;328868;1
basico;30;435;328076;1
basico;30;435;328408;1
basico;30;435;415224;1
basico;30;435;397356;1
basico;30;435;331192;1
basico;30;435;334964;1
basico;31;465;330556;1
basico;31;465;350708;1
basico;31;465;331784;1
basico;31;465;333248;1
basico;31;465;327856;1
basico;31;465;448644;1
basico;31;465;329800;1
basico;31;465;326712;1
basico;31;465;327448;1
basico;31;465;327692;1
basico;31;465;331068;1
basico;32;496;341044;1
basico;32;496;351368;1
basico;32;496;350108;1
basico;32;496;339924;1
basico;32;496;338920;1
basico;32;496;343084;1
basico;32;496;339284;1
basico;32;496;341424;1
basico;32;496;342408;1
basico;32;496;338756;1
basico;32;496;342432;1
basico;33;528;362044;1
basico;33;528;363372;1
basico;33;528;360420;1
basico;33;528;452692;1
basico;33;528;364912;1
basico;33;528;358796;1
basico;33;528;362488;1
basico;33;528;379744;1
basico;33;528;381288;1
basico;33;528;359856;1
basico;33;528;361512;1
basico;34;561;395896;1
basico;34;561;393172;1
basico;34;561;392444;1
basico;34;561;394428;1
basico;34;561;549896;1
basico;34;561;405740;1
basico;34;561;390744;1
basico;34;561;387540;1
basico;34;561;390032;1
basico;34;561;392052;1
basico;34;561;390028;1
basico;35;595;413516;1
basico;35;595;428808;1
basico;35;595;400852;1
basico;35;595;401508;1
basico;35;595;392336;1
basico;35;595;398724;1
basico;35;595;392668;1
basico;35;595;399048;1
basico;35;595;393324;1
basico;35;595;393124;1
basico;35;595;399132;1
basico;36;630;420820;1
basico;36;630;422372;1
basico;36;630;418408;1
basico;36;630;469252;1
basico;36;630;418608;1
basico;36;630;419364;1
basico;36;630;423324;1
basico;36;630;426696;1
basico;36;630;442896;1
basico;36;630;558456;1
basico;36;630;417336;1
basico;37;666;429960;1
basico;37;666;433944;1
basico;37;666;431512;1
basico;37;666;478792;1
basico;37;666;436216;1
basico;37;666;433612;1
basico;37;666;427540;1
basico;37;666;466156;1
basico;37;666;434252;1
basico;37;666;431072;1
basico;37;666;465936;1
basico;38;703;461384;1
basico;38;703;483456;1
basico;38;703;461544;1
basico;38;703;502624;1
basico;38;703;476244;1
basico;38;703;460096;1
basico;38;703;460176;1
basico;38;703;486112;1
basico;38;703;495196;1
basico;38;703;458380;1
basico;38;703;460176;1
basico;39;741;463924;1
basico;39;741;457180;1
basico;39;741;457384;1
basico;39;741;491512;1
basico;39;741;457644;1
basico;39;741;457948;1
basico;39;741;456844;1
basico;39;741;459176;1
basico;39;741;460228;1
basico;39;741;457840;1
basico;39;741;463672;1
basico;40;780;483888;1
basico;40;780;482160;1
basico;40;780;484680;1
basico;40;780;498284;1
basico;40;780;481104;1
basico;40;780;481232;1
basico;40;780;478672;1
basico;40;780;490396;1
basico;40;780;483308;1
basico;40;780;480752;1
basico;40;780;480036;1
basico;41;820;544792;1
basico;41;820;505256;1
basico;41;820;504696;1
basico;41;820;516932;1
basico;41;820;509220;1
basico;41;820;505904;1
basico;41;820;506748;1
basico;41;820;506888;1
basico;41;820;510884;1
basico;41;820;510544;1
basico;41;820;508664;1
basico;42;861;568596;1
basico;42;861;520388;1
basico;42;861;707444;1
basico;42;861;534180;1
basico;42;861;519180;1
basico;42;861;518416;1
basico;42;861;525204;1
basico;42;861;528316;1
basico;42;861;519656;1
basico;42;861;522976;1
basico;42;861;523780;1
basico;43;903;551832;1
basico;43;903;553384;1
basico;43;903;758872;1
basico;43;903;588880;1
basico;43;903;559296;1
basico;43;903;589204;1
basico;43;903;557120;1
basico;43;903;553024;1
basico;43;903;555292;1
basico;43;903;554052;1
basico;43;903;569172;1
basico;44;946;558440;1
basico;44;946;558876;1
basico;44;946;569136;1
basico;44;946;561144;1
basico;44;946;564976;1
basico;44;946;568072;1
basico;44;946;575248;1
basico;44;946;572680;1
basico;44;946;562000;1
basico;44;946;559172;1
basico;44;946;553784;1
basico;45;990;581580;1
basico;45;990;573912;1
basico;45;990;587100;1
basico;45;990;586568;1
basico;45;990;580028;1
basico;45;990;583272;1
basico;45;990;578376;1
basico;45;990;651096;1
basico;45;990;572280;1
basico;45;990;577140;1
basico;45;990;576340;1
basico;46;1035;604708;1
basico;46;1035;603656;1
basico;46;1035;609436;1
basico;46;1035;598920;1
basico;46;1035;604080;1
basico;46;1035;596324;1
basico;46;1035;651332;1
basico;46;1035;663168;1
basico;46;1035;625224;1
basico;46;1035;605940;1
basico;46;1035;597296;1
basico;47;1081;624780;1
basico;47;1081;862824;1
basico;47;1081;646160;1
basico;47;1081;621688;1
basico;47;1081;622192;1
basico;47;1081;620756;1
basico;47;1081;622112;1
basico;47;1081;624676;1
basico;47;1081;623856;1
basico;47;1081;623204;1
basico;47;1081;671256;1
basico;48;1128;648236;1
basico;48;1128;644460;1
basico;48;1128;656768;1
basico;48;1128;649228;1
basico;48;1128;645520;1
basico;48;1128;647700;1
basico;48;1128;666352;1
basico;48;1128;681760;1
basico;48;1128;646584;1
basico;48;1128;649368;1
basico;48;1128;647516;1
basico;49;1176;679824;1
basico;49;1176;919948;1
basico;49;1176;685840;1
basico;49;1176;678084;1
basico;49;1176;683528;1
basico;49;1176;676840;1
basico;49;1176;683024;1
basico;49;1176;676608;1
basico;49;1176;684428;1
basico;49;1176;708236;1
basico;49;1176;727016;1
basico;50;1225;675716;1
basico;50;1225;674520;1
basico;50;1225;689720;1
basico;50;1225;693784;1
basico;50;1225;675748;1
basico;50;1225;677016;1
basico;50;1225;776736;1
basico;50;1225;688132;1
basico;50;1225;674344;1
basico;50;1225;672576;1
basico;50;1225;679504;1
basico;51;1275;720032;1
basico;51;1275;748748;1
basico;51;1275;726480;1
basico;51;1275;718416;1
basico;51;1275;727396;1
basico;51;1275;717876;1
basico;51;1275;719624;1
basico;51;1275;721120;1
basico;51;1275;728304;1
basico;51;1275;718708;1
basico;51;1275;721392;1
basico;52;1326;739556;1
basico;52;1326;737188;1
basico;52;1326;742908;1
basico;52;1326;735632;1
basico;52;1326;738156;1
basico;52;1326;737948;1
basico;52;1326;946168;1
basico;52;1326;744716;1
basico;52;1326;743240;1
basico;52;1326;734904;1
basico;52;1326;737620;1
basico;53;1378;801844;1
basico;53;1378;754744;1
basico;53;1378;740008;1
basico;53;1378;747036;1
basico;53;1378;743820;1
basico;53;1378;743960;1
basico;53;1378;740580;1
basico;53;1378;740088;1
basico;53;1378;749096;1
basico;53;1378;744316;1
basico;53;1378;740700;1
basico;54;1431;774776;1
basico;54;1431;779512;1
basico;54;1431;796096;1
basico;54;1431;773044;1
basico;54;1431;786412;1
basico;54;1431;774748;1
basico;54;1431;771880;1
basico;54;1431;770796;1
basico;54;1431;769812;1
basico;54;1431;777596;1
basico;54;1431;773240;1
basico;55;1485;808944;1
basico;55;1485;801924;1
basico;55;1485;815300;1
basico;55;1485;806780;1
basico;55;1485;809880;1
basico;55;1485;873036;1
basico;55;1485;850308;1
basico;55;1485;854804;1
basico;55;1485;798280;1
basico;55;1485;802916;1
basico;55;1485;841564;1
basico;56;1540;858516;1
basico;56;1540;1073344;1
basico;56;1540;883992;1
basico;56;1540;832340;1
