modo;vertices;aristas;duracion;densidad
basico;10;9;92140;0.0730246414094
basico;10;9;95932;0.0730246414094
basico;10;9;89104;0.0730246414094
basico;10;9;93224;0.0730246414094
basico;10;9;91224;0.0730246414094
basico;10;9;93896;0.0730246414094
basico;10;9;91384;0.0730246414094
basico;10;9;94216;0.0730246414094
basico;10;9;103540;0.0730246414094
basico;10;9;91644;0.0730246414094
basico;10;9;90200;0.0730246414094
basico;11;12;99852;0.0880076360971
basico;11;12;102228;0.0880076360971
basico;11;12;104460;0.0880076360971
basico;11;12;101116;0.0880076360971
basico;11;12;101664;0.0880076360971
basico;11;12;101444;0.0880076360971
basico;11;12;100392;0.0880076360971
basico;11;12;100892;0.0880076360971
basico;11;12;102756;0.0880076360971
basico;11;12;100064;0.0880076360971
basico;11;12;101300;0.0880076360971
basico;12;17;110560;0.0549677759718
basico;12;17;114708;0.0549677759718
basico;12;17;120208;0.0549677759718
basico;12;17;229716;0.0549677759718
basico;12;17;107692;0.0549677759718
basico;12;17;111848;0.0549677759718
basico;12;17;109304;0.0549677759718
basico;12;17;110524;0.0549677759718
basico;12;17;108208;0.0549677759718
basico;12;17;112936;0.0549677759718
basico;12;17;108600;0.0549677759718
basico;13;12;112924;0.0545672310599
basico;13;12;113536;0.0545672310599
basico;13;12;142204;0.0545672310599
basico;13;12;113484;0.0545672310599
basico;13;12;113184;0.0545672310599
basico;13;12;114712;0.0545672310599
basico;13;12;112176;0.0545672310599
basico;13;12;113760;0.0545672310599
basico;13;12;110924;0.0545672310599
basico;13;12;112092;0.0545672310599
basico;13;12;112324;0.0545672310599
basico;14;18;131952;0.0588900788454
basico;14;18;123644;0.0588900788454
basico;14;18;121456;0.0588900788454
basico;14;18;125300;0.0588900788454
basico;14;18;122232;0.0588900788454
basico;14;18;119216;0.0588900788454
basico;14;18;133264;0.0588900788454
basico;14;18;121940;0.0588900788454
basico;14;18;121720;0.0588900788454
basico;14;18;121668;0.0588900788454
basico;14;18;130072;0.0588900788454
basico;15;17;134532;0.0871428050104
basico;15;17;132580;0.0871428050104
basico;15;17;166156;0.0871428050104
basico;15;17;148908;0.0871428050104
basico;15;17;131692;0.0871428050104
basico;15;17;131060;0.0871428050104
