modo;vertices;aristas;duracion;densidad
basico;10;45;34324;1
basico;10;45;31820;1
basico;10;45;31120;1
basico;10;45;42432;1
basico;10;45;34724;1
basico;10;45;35792;1
basico;10;45;32560;1
basico;10;45;31660;1
basico;10;45;32360;1
basico;10;45;32108;1
basico;10;45;32736;1
basico;11;55;36180;1
basico;11;55;35612;1
basico;11;55;57536;1
basico;11;55;34544;1
basico;11;55;36752;1
basico;11;55;34748;1
basico;11;55;37760;1
basico;11;55;35668;1
basico;11;55;35632;1
basico;11;55;36424;1
basico;11;55;34972;1
basico;12;66;39924;1
basico;12;66;39464;1
basico;12;66;38248;1
basico;12;66;38652;1
basico;12;66;38332;1
basico;12;66;39392;1
basico;12;66;61136;1
basico;12;66;38296;1
basico;12;66;40936;1
basico;12;66;38160;1
basico;12;66;38100;1
basico;13;78;44664;1
basico;13;78;44064;1
basico;13;78;44852;1
basico;13;78;45464;1
basico;13;78;46000;1
basico;13;78;44116;1
basico;13;78;44152;1
basico;13;78;45796;1
basico;13;78;45412;1
basico;13;78;44976;1
basico;13;78;45120;1
basico;14;91;53420;1
basico;14;91;52540;1
basico;14;91;52404;1
basico;14;91;53492;1
basico;14;91;51500;1
basico;14;91;77216;1
basico;14;91;71204;1
basico;14;91;52872;1
basico;14;91;52732;1
basico;14;91;53436;1
basico;14;91;52708;1
basico;15;105;58848;1
basico;15;105;57064;1
basico;15;105;57824;1
basico;15;105;56736;1
basico;15;105;77108;1
basico;15;105;68888;1
basico;15;105;56908;1
basico;15;105;59364;1
basico;15;105;58976;1
basico;15;105;59248;1
basico;15;105;58016;1
basico;16;120;98412;1
basico;16;120;63924;1
basico;16;120;64784;1
basico;16;120;87044;1
basico;16;120;70452;1
basico;16;120;65320;1
basico;16;120;64276;1
basico;16;120;63156;1
basico;16;120;67168;1
basico;16;120;63588;1
basico;16;120;65776;1
basico;17;136;68276;1
basico;17;136;69320;1
basico;17;136;71880;1
basico;17;136;76328;1
basico;17;136;68904;1
basico;17;136;69424;1
basico;17;136;69440;1
basico;17;136;72180;1
basico;17;136;70436;1
basico;17;136;68524;1
basico;17;136;69316;1
basico;18;153;77804;1
basico;18;153;80400;1
basico;18;153;82760;1
basico;18;153;77248;1
basico;18;153;84568;1
basico;18;153;77208;1
basico;18;153;77448;1
basico;18;153;76472;1
basico;18;153;77732;1
basico;18;153;77552;1
basico;18;153;77020;1
basico;19;171;85088;1
basico;19;171;85616;1
basico;19;171;83456;1
basico;19;171;85044;1
basico;19;171;84276;1
basico;19;171;86632;1
basico;19;171;82700;1
basico;19;171;85236;1
basico;19;171;84644;1
basico;19;171;86328;1
basico;19;171;83612;1
basico;20;190;93160;1
basico;20;190;90424;1
basico;20;190;89716;1
basico;20;190;89120;1
basico;20;190;90676;1
basico;20;190;89540;1
basico;20;190;90020;1
basico;20;190;89556;1
basico;20;190;91220;1
basico;20;190;90232;1
basico;20;190;89204;1
basico;21;210;98300;1
basico;21;210;98848;1
basico;21;210;98524;1
basico;21;210;98436;1
basico;21;210;98052;1
basico;21;210;104788;1
basico;21;210;100464;1
basico;21;210;99768;1
basico;21;210;99136;1
basico;21;210;99984;1
basico;21;210;97956;1
basico;22;231;112096;1
basico;22;231;111256;1
basico;22;231;111496;1
basico;22;231;146588;1
basico;22;231;118680;1
basico;22;231;115036;1
basico;22;231;111656;1
basico;22;231;110852;1
basico;22;231;113188;1
basico;22;231;111192;1
basico;22;231;121204;1
basico;23;253;123248;1
basico;23;253;122796;1
basico;23;253;145916;1
basico;23;253;123428;1
basico;23;253;123188;1
basico;23;253;122416;1
basico;23;253;122220;1
basico;23;253;123376;1
basico;23;253;123872;1
basico;23;253;123052;1
basico;23;253;125056;1
basico;24;276;127212;1
basico;24;276;126560;1
basico;24;276;126464;1
basico;24;276;127016;1
basico;24;276;126900;1
basico;24;276;126748;1
basico;24;276;124664;1
basico;24;276;126824;1
basico;24;276;126876;1
basico;24;276;136100;1
basico;24;276;124912;1
basico;25;300;133296;1
basico;25;300;135516;1
basico;25;300;134748;1
basico;25;300;133688;1
basico;25;300;135540;1
basico;25;300;134256;1
basico;25;300;133048;1
basico;25;300;134176;1
basico;25;300;134324;1
basico;25;300;136988;1
basico;25;300;134540;1
basico;26;325;145344;1
basico;26;325;181300;1
basico;26;325;150808;1
basico;26;325;147056;1
basico;26;325;146224;1
basico;26;325;146976;1
basico;26;325;146264;1
basico;26;325;148400;1
basico;26;325;147948;1
basico;26;325;146332;1
basico;26;325;146368;1
basico;27;351;163472;1
basico;27;351;159604;1
basico;27;351;159192;1
basico;27;351;160036;1
basico;27;351;214132;1
basico;27;351;159176;1
basico;27;351;159004;1
basico;27;351;158640;1
basico;27;351;158948;1
basico;27;351;159020;1
basico;27;351;191104;1
basico;28;378;223596;1
basico;28;378;195604;1
basico;28;378;179668;1
basico;28;378;168136;1
basico;28;378;167516;1
basico;28;378;170892;1
basico;28;378;166156;1
basico;28;378;166692;1
basico;28;378;169484;1
basico;28;378;167144;1
basico;28;378;167064;1
basico;29;406;179344;1
basico;29;406;180176;1
basico;29;406;176248;1
basico;29;406;176940;1
basico;29;406;176084;1
basico;29;406;175988;1
basico;29;406;176116;1
basico;29;406;180416;1
basico;29;406;176904;1
basico;29;406;177684;1
basico;29;406;176896;1
basico;30;435;190664;1
basico;30;435;192408;1
basico;30;435;192196;1
basico;30;435;192384;1
basico;30;435;190628;1
basico;30;435;234612;1
basico;30;435;193172;1
basico;30;435;191448;1
basico;30;435;191408;1
basico;30;435;192276;1
basico;30;435;191868;1
basico;31;465;199164;1
basico;31;465;199328;1
basico;31;465;228752;1
basico;31;465;203236;1
basico;31;465;198512;1
basico;31;465;198776;1
basico;31;465;199336;1
basico;31;465;198828;1
basico;31;465;203916;1
basico;31;465;200068;1
basico;31;465;199324;1
basico;32;496;223520;1
basico;32;496;223720;1
basico;32;496;223636;1
basico;32;496;233852;1
basico;32;496;226052;1
basico;32;496;222872;1
basico;32;496;221944;1
basico;32;496;265636;1
basico;32;496;238304;1
basico;32;496;221192;1
basico;32;496;223408;1
basico;33;528;227952;1
basico;33;528;227076;1
basico;33;528;225812;1
basico;33;528;227008;1
basico;33;528;230084;1
basico;33;528;227792;1
basico;33;528;230424;1
basico;33;528;226420;1
basico;33;528;226660;1
basico;33;528;226224;1
basico;33;528;226148;1
basico;34;561;245928;1
basico;34;561;245832;1
basico;34;561;249528;1
basico;34;561;245696;1
basico;34;561;245504;1
basico;34;561;246204;1
basico;34;561;245268;1
basico;34;561;244912;1
basico;34;561;246740;1
basico;34;561;246096;1
basico;34;561;246648;1
basico;35;595;261028;1
basico;35;595;258560;1
basico;35;595;257604;1
basico;35;595;271908;1
basico;35;595;259296;1
basico;35;595;259652;1
basico;35;595;257640;1
basico;35;595;261756;1
basico;35;595;268212;1
basico;35;595;260988;1
basico;35;595;260168;1
basico;36;630;276196;1
basico;36;630;276056;1
basico;36;630;277612;1
basico;36;630;274556;1
basico;36;630;285904;1
basico;36;630;279924;1
basico;36;630;281300;1
basico;36;630;275216;1
basico;36;630;274840;1
basico;36;630;279524;1
basico;36;630;274956;1
basico;37;666;288976;1
basico;37;666;291248;1
basico;37;666;287984;1
basico;37;666;290760;1
basico;37;666;290888;1
basico;37;666;287668;1
basico;37;666;287936;1
basico;37;666;288312;1
basico;37;666;287236;1
basico;37;666;293416;1
basico;37;666;308016;1
basico;38;703;306388;1
basico;38;703;307368;1
basico;38;703;308064;1
basico;38;703;313288;1
basico;38;703;306232;1
basico;38;703;306144;1
basico;38;703;310452;1
basico;38;703;311176;1
basico;38;703;310688;1
basico;38;703;307656;1
basico;38;703;305884;1
basico;39;741;317056;1
basico;39;741;316520;1
basico;39;741;316708;1
basico;39;741;318684;1
basico;39;741;372644;1
basico;39;741;317056;1
basico;39;741;316500;1
basico;39;741;315312;1
basico;39;741;320288;1
basico;39;741;316412;1
basico;39;741;316376;1
basico;40;780;329248;1
basico;40;780;329724;1
basico;40;780;329608;1
basico;40;780;328688;1
basico;40;780;327708;1
basico;40;780;327144;1
basico;40;780;328700;1
basico;40;780;333332;1
basico;40;780;331020;1
basico;40;780;327808;1
basico;40;780;331120;1
basico;41;820;381420;1
basico;41;820;345400;1
basico;41;820;348608;1
basico;41;820;344980;1
basico;41;820;347804;1
basico;41;820;364364;1
basico;41;820;348480;1
basico;41;820;345312;1
basico;41;820;346812;1
basico;41;820;343772;1
basico;41;820;344172;1
basico;42;861;442472;1
basico;42;861;379596;1
basico;42;861;370120;1
basico;42;861;369872;1
basico;42;861;370504;1
basico;42;861;369568;1
basico;42;861;371180;1
basico;42;861;368972;1
basico;42;861;370160;1
basico;42;861;369948;1
basico;42;861;371544;1
basico;43;903;388328;1
basico;43;903;388856;1
basico;43;903;501716;1
basico;43;903;397256;1
basico;43;903;389876;1
basico;43;903;387192;1
basico;43;903;386420;1
basico;43;903;389204;1
basico;43;903;387248;1
basico;43;903;388268;1
basico;43;903;387748;1
basico;44;946;391548;1
basico;44;946;393732;1
basico;44;946;392656;1
basico;44;946;437444;1
basico;44;946;392620;1
basico;44;946;394272;1
basico;44;946;392460;1
basico;44;946;395104;1
basico;44;946;393784;1
basico;44;946;391300;1
basico;44;946;395852;1
basico;45;990;448760;1
basico;45;990;414068;1
basico;45;990;491612;1
basico;45;990;412384;1
basico;45;990;410268;1
basico;45;990;410072;1
basico;45;990;541280;1
basico;45;990;436948;1
basico;45;990;411716;1
basico;45;990;410268;1
basico;45;990;412152;1
basico;46;1035;429728;1
basico;46;1035;430916;1
basico;46;1035;440100;1
basico;46;1035;430652;1
basico;46;1035;428424;1
basico;46;1035;431684;1
basico;46;1035;430800;1
basico;46;1035;430512;1
basico;46;1035;428360;1
basico;46;1035;428192;1
basico;46;1035;427900;1
basico;47;1081;446060;1
basico;47;1081;445776;1
basico;47;1081;512768;1
basico;47;1081;445072;1
basico;47;1081;442744;1
basico;47;1081;444276;1
basico;47;1081;452628;1
basico;47;1081;470056;1
basico;47;1081;442228;1
basico;47;1081;442660;1
