modo;vertices;aristas;duracion;densidad
basico;10;12;29388;0.0947417389746
basico;10;12;31396;0.0947417389746
basico;10;12;28816;0.0947417389746
basico;10;12;29364;0.0947417389746
basico;10;12;29740;0.0947417389746
basico;10;12;32856;0.0947417389746
basico;10;12;29504;0.0947417389746
basico;10;12;29616;0.0947417389746
basico;10;12;29296;0.0947417389746
basico;10;12;28792;0.0947417389746
basico;10;12;40332;0.0947417389746
basico;11;11;34160;0.0627473740886
basico;11;11;35692;0.0627473740886
basico;11;11;33988;0.0627473740886
basico;11;11;34384;0.0627473740886
basico;11;11;47480;0.0627473740886
basico;11;11;36556;0.0627473740886
basico;11;11;35612;0.0627473740886
basico;11;11;34680;0.0627473740886
basico;11;11;36392;0.0627473740886
basico;11;11;37212;0.0627473740886
basico;11;11;34860;0.0627473740886
basico;12;16;40248;0.0717507780303
basico;12;16;41748;0.0717507780303
basico;12;16;123388;0.0717507780303
basico;12;16;42408;0.0717507780303
basico;12;16;39320;0.0717507780303
basico;12;16;39276;0.0717507780303
basico;12;16;39540;0.0717507780303
basico;12;16;41264;0.0717507780303
basico;12;16;41760;0.0717507780303
basico;12;16;39732;0.0717507780303
basico;12;16;39900;0.0717507780303
basico;13;13;45608;0.0935807842816
basico;13;13;43708;0.0935807842816
basico;13;13;43364;0.0935807842816
basico;13;13;46596;0.0935807842816
basico;13;13;45284;0.0935807842816
basico;13;13;42840;0.0935807842816
basico;13;13;44728;0.0935807842816
basico;13;13;44016;0.0935807842816
basico;13;13;43628;0.0935807842816
basico;13;13;45312;0.0935807842816
basico;13;13;45164;0.0935807842816
basico;14;18;49264;0.0543597853499
basico;14;18;48784;0.0543597853499
basico;14;18;48852;0.0543597853499
basico;14;18;48592;0.0543597853499
basico;14;18;48288;0.0543597853499
basico;14;18;56584;0.0543597853499
basico;14;18;48776;0.0543597853499
basico;14;18;47804;0.0543597853499
basico;14;18;48840;0.0543597853499
basico;14;18;50328;0.0543597853499
basico;14;18;48516;0.0543597853499
basico;15;15;54224;0.0829929030179
basico;15;15;54236;0.0829929030179
basico;15;15;57660;0.0829929030179
basico;15;15;54600;0.0829929030179
basico;15;15;55032;0.0829929030179
basico;15;15;54248;0.0829929030179
basico;15;15;55416;0.0829929030179
basico;15;15;55244;0.0829929030179
basico;15;15;54444;0.0829929030179
basico;15;15;54696;0.0829929030179
basico;15;15;56184;0.0829929030179
basico;16;23;61440;0.0511606111769
basico;16;23;61764;0.0511606111769
basico;16;23;61708;0.0511606111769
basico;16;23;63308;0.0511606111769
basico;16;23;60932;0.0511606111769
basico;16;23;64588;0.0511606111769
basico;16;23;61288;0.0511606111769
basico;16;23;61432;0.0511606111769
basico;16;23;61292;0.0511606111769
basico;16;23;63928;0.0511606111769
basico;16;23;62032;0.0511606111769
basico;17;19;65608;0.0739907055233
basico;17;19;66756;0.0739907055233
basico;17;19;65840;0.0739907055233
basico;17;19;65948;0.0739907055233
basico;17;19;67284;0.0739907055233
basico;17;19;66492;0.0739907055233
basico;17;19;69140;0.0739907055233
