modo;vertices;aristas;duracion;densidad
arreglo;10;45;33592;1
cola;10;45;64788;1
arreglo;10;45;30680;1
cola;10;45;64468;1
arreglo;10;45;32284;1
cola;10;45;60608;1
arreglo;10;45;32460;1
cola;10;45;64180;1
arreglo;10;45;32672;1
cola;10;45;64920;1
arreglo;10;45;32280;1
cola;10;45;64568;1
arreglo;10;45;43856;1
cola;10;45;64808;1
arreglo;10;45;33724;1
cola;10;45;65072;1
arreglo;10;45;33020;1
cola;10;45;64804;1
arreglo;10;45;37764;1
cola;10;45;64112;1
arreglo;10;45;33416;1
cola;10;45;63804;1
arreglo;11;55;38168;1
cola;11;55;72576;1
arreglo;11;55;36340;1
cola;11;55;73904;1
arreglo;11;55;36180;1
cola;11;55;71316;1
arreglo;11;55;35020;1
cola;11;55;72844;1
arreglo;11;55;35072;1
cola;11;55;72372;1
arreglo;11;55;34212;1
cola;11;55;86156;1
arreglo;11;55;47400;1
cola;11;55;88588;1
arreglo;11;55;34972;1
cola;11;55;73432;1
arreglo;11;55;36032;1
cola;11;55;72380;1
arreglo;11;55;33492;1
cola;11;55;72560;1
arreglo;11;55;34632;1
cola;11;55;72940;1
arreglo;12;66;40244;1
cola;12;66;102908;1
arreglo;12;66;40804;1
cola;12;66;101052;1
arreglo;12;66;40152;1
cola;12;66;101200;1
arreglo;12;66;39464;1
cola;12;66;100164;1
arreglo;12;66;41636;1
cola;12;66;105580;1
arreglo;12;66;48224;1
cola;12;66;104432;1
arreglo;12;66;39312;1
cola;12;66;101348;1
arreglo;12;66;59600;1
cola;12;66;101068;1
arreglo;12;66;40172;1
cola;12;66;100536;1
arreglo;12;66;42992;1
cola;12;66;99876;1
arreglo;12;66;41052;1
cola;12;66;101016;1
arreglo;13;78;45084;1
cola;13;78;110160;1
arreglo;13;78;46376;1
cola;13;78;109152;1
arreglo;13;78;60296;1
cola;13;78;112916;1
arreglo;13;78;51136;1
cola;13;78;111668;1
arreglo;13;78;45220;1
cola;13;78;109768;1
arreglo;13;78;45232;1
cola;13;78;109424;1
arreglo;13;78;44572;1
cola;13;78;108788;1
arreglo;13;78;51168;1
cola;13;78;108864;1
arreglo;13;78;46732;1
cola;13;78;110556;1
arreglo;13;78;49344;1
cola;13;78;109008;1
arreglo;13;78;48984;1
cola;13;78;109124;1
arreglo;14;91;53124;1
cola;14;91;128104;1
arreglo;14;91;58508;1
cola;14;91;134112;1
arreglo;14;91;51680;1
cola;14;91;126304;1
arreglo;14;91;51752;1
cola;14;91;127048;1
arreglo;14;91;54948;1
cola;14;91;124808;1
arreglo;14;91;50820;1
cola;14;91;127936;1
arreglo;14;91;51056;1
cola;14;91;127536;1
arreglo;14;91;51484;1
cola;14;91;128184;1
arreglo;14;91;53700;1
cola;14;91;129360;1
arreglo;14;91;72200;1
cola;14;91;151740;1
arreglo;14;91;76108;1
cola;14;91;161584;1
arreglo;15;105;57308;1
cola;15;105;138428;1
arreglo;15;105;56140;1
cola;15;105;136528;1
arreglo;15;105;76596;1
cola;15;105;149228;1
arreglo;15;105;55960;1
cola;15;105;142808;1
arreglo;15;105;57288;1
cola;15;105;148884;1
arreglo;15;105;56096;1
cola;15;105;136724;1
arreglo;15;105;56364;1
cola;15;105;153872;1
arreglo;15;105;57948;1
cola;15;105;138932;1
arreglo;15;105;56928;1
cola;15;105;143056;1
arreglo;15;105;56296;1
cola;15;105;137632;1
arreglo;15;105;56756;1
cola;15;105;137824;1
arreglo;16;120;61264;1
cola;16;120;144904;1
arreglo;16;120;61880;1
cola;16;120;144168;1
arreglo;16;120;65356;1
cola;16;120;145064;1
arreglo;16;120;63884;1
cola;16;120;143192;1
arreglo;16;120;64204;1
cola;16;120;144744;1
arreglo;16;120;82272;1
cola;16;120;175132;1
arreglo;16;120;62608;1
cola;16;120;145004;1
arreglo;16;120;64440;1
cola;16;120;144352;1
arreglo;16;120;62716;1
cola;16;120;145168;1
arreglo;16;120;61496;1
cola;16;120;137584;1
arreglo;16;120;62544;1
cola;16;120;144528;1
arreglo;17;136;72092;1
cola;17;136;205948;1
arreglo;17;136;72388;1
cola;17;136;193020;1
arreglo;17;136;76976;1
cola;17;136;195472;1
arreglo;17;136;75576;1
cola;17;136;198844;1
arreglo;17;136;74536;1
cola;17;136;186872;1
arreglo;17;136;72368;1
cola;17;136;195496;1
arreglo;17;136;89664;1
cola;17;136;249616;1
arreglo;17;136;75204;1
cola;17;136;195340;1
arreglo;17;136;72388;1
cola;17;136;183168;1
arreglo;17;136;71000;1
cola;17;136;193152;1
