modo;vertices;aristas;duracion;densidad
arreglo;10;11;33484;0.0542658085362
cola;10;11;30456;0.0542658085362
arreglo;10;11;30816;0.0542658085362
cola;10;11;29732;0.0542658085362
arreglo;10;11;33516;0.0542658085362
cola;10;11;30364;0.0542658085362
arreglo;10;11;30780;0.0542658085362
cola;10;11;29972;0.0542658085362
arreglo;10;11;29548;0.0542658085362
cola;10;11;29468;0.0542658085362
arreglo;10;11;31704;0.0542658085362
cola;10;11;36900;0.0542658085362
arreglo;10;11;29148;0.0542658085362
cola;10;11;29956;0.0542658085362
arreglo;10;11;33216;0.0542658085362
cola;10;11;30536;0.0542658085362
arreglo;10;11;35404;0.0542658085362
cola;10;11;35964;0.0542658085362
arreglo;10;11;32616;0.0542658085362
cola;10;11;29996;0.0542658085362
arreglo;10;11;28640;0.0542658085362
cola;10;11;28616;0.0542658085362
arreglo;11;11;33304;0.0606133511354
cola;11;11;29928;0.0606133511354
arreglo;11;11;35588;0.0606133511354
cola;11;11;29376;0.0606133511354
arreglo;11;11;34972;0.0606133511354
cola;11;11;29632;0.0606133511354
arreglo;11;11;32108;0.0606133511354
cola;11;11;29588;0.0606133511354
arreglo;11;11;34424;0.0606133511354
cola;11;11;29320;0.0606133511354
arreglo;11;11;36088;0.0606133511354
cola;11;11;29900;0.0606133511354
arreglo;11;11;31936;0.0606133511354
cola;11;11;29108;0.0606133511354
arreglo;11;11;35396;0.0606133511354
cola;11;11;29536;0.0606133511354
arreglo;11;11;31844;0.0606133511354
cola;11;11;29488;0.0606133511354
arreglo;11;11;32928;0.0606133511354
cola;11;11;29476;0.0606133511354
arreglo;11;11;35140;0.0606133511354
cola;11;11;29232;0.0606133511354
arreglo;12;13;40340;0.0561036684806
cola;12;13;36900;0.0561036684806
arreglo;12;13;43972;0.0561036684806
cola;12;13;37380;0.0561036684806
arreglo;12;13;38140;0.0561036684806
cola;12;13;35176;0.0561036684806
arreglo;12;13;36744;0.0561036684806
cola;12;13;35296;0.0561036684806
arreglo;12;13;37760;0.0561036684806
cola;12;13;34936;0.0561036684806
arreglo;12;13;40528;0.0561036684806
cola;12;13;46448;0.0561036684806
arreglo;12;13;38576;0.0561036684806
cola;12;13;35544;0.0561036684806
arreglo;12;13;38524;0.0561036684806
cola;12;13;35096;0.0561036684806
arreglo;12;13;37168;0.0561036684806
cola;12;13;35544;0.0561036684806
arreglo;12;13;39184;0.0561036684806
cola;12;13;36016;0.0561036684806
arreglo;12;13;41548;0.0561036684806
cola;12;13;35156;0.0561036684806
arreglo;13;16;47292;0.0880634012845
cola;13;16;42744;0.0880634012845
arreglo;13;16;45508;0.0880634012845
cola;13;16;42760;0.0880634012845
arreglo;13;16;44668;0.0880634012845
cola;13;16;42916;0.0880634012845
arreglo;13;16;66816;0.0880634012845
cola;13;16;60056;0.0880634012845
arreglo;13;16;62376;0.0880634012845
cola;13;16;53512;0.0880634012845
arreglo;13;16;45636;0.0880634012845
cola;13;16;51720;0.0880634012845
arreglo;13;16;60016;0.0880634012845
cola;13;16;57144;0.0880634012845
arreglo;13;16;58856;0.0880634012845
cola;13;16;54232;0.0880634012845
arreglo;13;16;50880;0.0880634012845
cola;13;16;42340;0.0880634012845
arreglo;13;16;48308;0.0880634012845
cola;13;16;42704;0.0880634012845
arreglo;13;16;44936;0.0880634012845
cola;13;16;55072;0.0880634012845
arreglo;14;16;49408;0.0902413682453
cola;14;16;42348;0.0902413682453
arreglo;14;16;51120;0.0902413682453
cola;14;16;41932;0.0902413682453
arreglo;14;16;51304;0.0902413682453
