modo;vertices;aristas;duracion;densidad
arreglo;500;6000;45759296;0.0480961923848
cola;500;6000;7545056;0.0480961923848
arreglo;500;6000;45404676;0.0480961923848
cola;500;6000;7321960;0.0480961923848
arreglo;500;6000;45649900;0.0480961923848
cola;500;6000;7367628;0.0480961923848
arreglo;500;6000;45353928;0.0480961923848
cola;500;6000;7305288;0.0480961923848
arreglo;500;6000;45526388;0.0480961923848
cola;500;6000;7281804;0.0480961923848
arreglo;500;6000;45318412;0.0480961923848
cola;500;6000;7307744;0.0480961923848
arreglo;500;6000;45356544;0.0480961923848
cola;500;6000;7295584;0.0480961923848
arreglo;500;6000;45374056;0.0480961923848
cola;500;6000;7289392;0.0480961923848
arreglo;500;6000;45362356;0.0480961923848
cola;500;6000;7320700;0.0480961923848
arreglo;500;6000;45368932;0.0480961923848
cola;500;6000;7709012;0.0480961923848
arreglo;500;6000;45347444;0.0480961923848
cola;500;6000;7317456;0.0480961923848
arreglo;500;7000;45568220;0.0561122244489
cola;500;7000;8056824;0.0561122244489
arreglo;500;7000;45264660;0.0561122244489
cola;500;7000;7823320;0.0561122244489
arreglo;500;7000;45246752;0.0561122244489
cola;500;7000;7833632;0.0561122244489
arreglo;500;7000;45293844;0.0561122244489
cola;500;7000;7835656;0.0561122244489
arreglo;500;7000;45363548;0.0561122244489
cola;500;7000;7809644;0.0561122244489
arreglo;500;7000;45321512;0.0561122244489
cola;500;7000;7859084;0.0561122244489
arreglo;500;7000;45272972;0.0561122244489
cola;500;7000;7834484;0.0561122244489
arreglo;500;7000;45281656;0.0561122244489
cola;500;7000;7852440;0.0561122244489
arreglo;500;7000;48803904;0.0561122244489
cola;500;7000;7971520;0.0561122244489
arreglo;500;7000;45895044;0.0561122244489
cola;500;7000;7846708;0.0561122244489
arreglo;500;7000;45394272;0.0561122244489
cola;500;7000;7976572;0.0561122244489
arreglo;500;8000;45838076;0.064128256513
cola;500;8000;8669276;0.064128256513
arreglo;500;8000;45546668;0.064128256513
cola;500;8000;8501712;0.064128256513
arreglo;500;8000;45543156;0.064128256513
cola;500;8000;8456612;0.064128256513
arreglo;500;8000;45579600;0.064128256513
cola;500;8000;8510372;0.064128256513
arreglo;500;8000;45553200;0.064128256513
cola;500;8000;8516736;0.064128256513
arreglo;500;8000;45557252;0.064128256513
cola;500;8000;8489768;0.064128256513
arreglo;500;8000;45573556;0.064128256513
cola;500;8000;8555524;0.064128256513
arreglo;500;8000;45588880;0.064128256513
cola;500;8000;8517904;0.064128256513
arreglo;500;8000;45501548;0.064128256513
cola;500;8000;8723916;0.064128256513
arreglo;500;8000;45570040;0.064128256513
cola;500;8000;8467584;0.064128256513
arreglo;500;8000;45524584;0.064128256513
cola;500;8000;8488480;0.064128256513
arreglo;500;9000;45952544;0.0721442885772
cola;500;9000;9049808;0.0721442885772
arreglo;500;9000;45695320;0.0721442885772
cola;500;9000;8914036;0.0721442885772
arreglo;500;9000;45884080;0.0721442885772
cola;500;9000;8910936;0.0721442885772
arreglo;500;9000;45611048;0.0721442885772
cola;500;9000;8931888;0.0721442885772
arreglo;500;9000;45577680;0.0721442885772
cola;500;9000;11198856;0.0721442885772
arreglo;500;9000;45645272;0.0721442885772
cola;500;9000;8915540;0.0721442885772
arreglo;500;9000;45563456;0.0721442885772
cola;500;9000;8950204;0.0721442885772
arreglo;500;9000;45623068;0.0721442885772
cola;500;9000;9038044;0.0721442885772
arreglo;500;9000;45526880;0.0721442885772
cola;500;9000;8901140;0.0721442885772
arreglo;500;9000;45573204;0.0721442885772
cola;500;9000;8936084;0.0721442885772
arreglo;500;9000;45644348;0.0721442885772
cola;500;9000;8901312;0.0721442885772
arreglo;500;10000;46091584;0.0801603206413
cola;500;10000;9857228;0.0801603206413
arreglo;500;10000;45767424;0.0801603206413
cola;500;10000;9808868;0.0801603206413
arreglo;500;10000;45511704;0.0801603206413
cola;500;10000;9630192;0.0801603206413
arreglo;500;10000;45534652;0.0801603206413
cola;500;10000;9636448;0.0801603206413
arreglo;500;10000;45603692;0.0801603206413
cola;500;10000;9652936;0.0801603206413
arreglo;500;10000;45502560;0.0801603206413
cola;500;10000;9602128;0.0801603206413
arreglo;500;10000;45846488;0.0801603206413
cola;500;10000;9664860;0.0801603206413
arreglo;500;10000;45575688;0.0801603206413
cola;500;10000;9624480;0.0801603206413
arreglo;500;10000;45484400;0.0801603206413
cola;500;10000;9631536;0.0801603206413
arreglo;500;10000;45559320;0.0801603206413
cola;500;10000;9673764;0.0801603206413
arreglo;500;10000;45500340;0.0801603206413
cola;500;10000;10333264;0.0801603206413
arreglo;500;11000;46287428;0.0881763527054
cola;500;11000;10302264;0.0881763527054
