modo;vertices;aristas;duracion;densidad
arreglo;200;800;7355104;0.0402010050251
cola;200;800;1606768;0.0402010050251
arreglo;200;800;7253860;0.0402010050251
cola;200;800;1516564;0.0402010050251
arreglo;200;800;7256000;0.0402010050251
cola;200;800;1506696;0.0402010050251
arreglo;200;800;7249320;0.0402010050251
cola;200;800;1507008;0.0402010050251
arreglo;200;800;7252332;0.0402010050251
cola;200;800;1504828;0.0402010050251
arreglo;200;800;7252420;0.0402010050251
cola;200;800;1493228;0.0402010050251
arreglo;200;800;7354152;0.0402010050251
cola;200;800;1508048;0.0402010050251
arreglo;200;800;7280888;0.0402010050251
cola;200;800;1533716;0.0402010050251
arreglo;200;800;7293020;0.0402010050251
cola;200;800;1567232;0.0402010050251
arreglo;200;800;7283452;0.0402010050251
cola;200;800;1516512;0.0402010050251
arreglo;200;800;7294060;0.0402010050251
cola;200;800;1540592;0.0402010050251
arreglo;200;820;7282392;0.0412060301508
cola;200;820;1538668;0.0412060301508
arreglo;200;820;7468212;0.0412060301508
cola;200;820;1601272;0.0412060301508
arreglo;200;820;7325220;0.0412060301508
cola;200;820;1528476;0.0412060301508
arreglo;200;820;7789220;0.0412060301508
cola;200;820;1538628;0.0412060301508
arreglo;200;820;7377804;0.0412060301508
cola;200;820;1528600;0.0412060301508
arreglo;200;820;7302228;0.0412060301508
cola;200;820;1530092;0.0412060301508
arreglo;200;820;7322388;0.0412060301508
cola;200;820;1555900;0.0412060301508
arreglo;200;820;7313668;0.0412060301508
cola;200;820;1600340;0.0412060301508
arreglo;200;820;7323192;0.0412060301508
cola;200;820;1551632;0.0412060301508
arreglo;200;820;7329548;0.0412060301508
cola;200;820;1523756;0.0412060301508
arreglo;200;820;7328100;0.0412060301508
cola;200;820;1517768;0.0412060301508
arreglo;200;840;7281888;0.0422110552764
cola;200;840;1575552;0.0422110552764
arreglo;200;840;7619108;0.0422110552764
cola;200;840;1546944;0.0422110552764
arreglo;200;840;7310840;0.0422110552764
cola;200;840;1547488;0.0422110552764
arreglo;200;840;7915888;0.0422110552764
cola;200;840;1579292;0.0422110552764
arreglo;200;840;7319692;0.0422110552764
cola;200;840;1583956;0.0422110552764
arreglo;200;840;7244360;0.0422110552764
cola;200;840;1547828;0.0422110552764
arreglo;200;840;7261608;0.0422110552764
cola;200;840;1543744;0.0422110552764
arreglo;200;840;7242180;0.0422110552764
cola;200;840;1549404;0.0422110552764
arreglo;200;840;7297724;0.0422110552764
cola;200;840;1546904;0.0422110552764
arreglo;200;840;7303328;0.0422110552764
cola;200;840;1627268;0.0422110552764
arreglo;200;840;7301224;0.0422110552764
cola;200;840;1552128;0.0422110552764
arreglo;200;860;7229016;0.043216080402
cola;200;860;1616812;0.043216080402
arreglo;200;860;7327248;0.043216080402
cola;200;860;1606764;0.043216080402
arreglo;200;860;7264456;0.043216080402
cola;200;860;1615212;0.043216080402
arreglo;200;860;8091188;0.043216080402
cola;200;860;1647980;0.043216080402
arreglo;200;860;7253348;0.043216080402
cola;200;860;1623544;0.043216080402
arreglo;200;860;7251792;0.043216080402
cola;200;860;1669428;0.043216080402
arreglo;200;860;7322676;0.043216080402
cola;200;860;1613544;0.043216080402
arreglo;200;860;7245972;0.043216080402
cola;200;860;1607600;0.043216080402
arreglo;200;860;7290288;0.043216080402
cola;200;860;1645484;0.043216080402
arreglo;200;860;7244564;0.043216080402
cola;200;860;1604428;0.043216080402
arreglo;200;860;7231332;0.043216080402
cola;200;860;1592024;0.043216080402
arreglo;200;880;7270716;0.0442211055276
cola;200;880;1571812;0.0442211055276
arreglo;200;880;7290504;0.0442211055276
cola;200;880;1606584;0.0442211055276
arreglo;200;880;7294160;0.0442211055276
cola;200;880;1738608;0.0442211055276
arreglo;200;880;7249348;0.0442211055276
cola;200;880;1647484;0.0442211055276
arreglo;200;880;7274452;0.0442211055276
cola;200;880;1681700;0.0442211055276
arreglo;200;880;7285092;0.0442211055276
cola;200;880;1648448;0.0442211055276
arreglo;200;880;7309872;0.0442211055276
cola;200;880;1559472;0.0442211055276
arreglo;200;880;7303776;0.0442211055276
cola;200;880;1592116;0.0442211055276
arreglo;200;880;7323424;0.0442211055276
cola;200;880;1623064;0.0442211055276
arreglo;200;880;7286120;0.0442211055276
cola;200;880;1703740;0.0442211055276
arreglo;200;880;7245844;0.0442211055276
cola;200;880;1661688;0.0442211055276
arreglo;200;900;7268188;0.0452261306533
cola;200;900;1650480;0.0452261306533
arreglo;200;900;8033012;0.0452261306533
cola;200;900;1628352;0.0452261306533
arreglo;200;900;7271532;0.0452261306533
cola;200;900;1639168;0.0452261306533
arreglo;200;900;7531312;0.0452261306533
cola;200;900;1697272;0.0452261306533
arreglo;200;900;7291496;0.0452261306533
cola;200;900;1610176;0.0452261306533
arreglo;200;900;7323324;0.0452261306533
cola;200;900;1627212;0.0452261306533
arreglo;200;900;7306084;0.0452261306533
cola;200;900;1706016;0.0452261306533
arreglo;200;900;7276892;0.0452261306533
cola;200;900;1639324;0.0452261306533
arreglo;200;900;7350236;0.0452261306533
cola;200;900;1697240;0.0452261306533
arreglo;200;900;7232156;0.0452261306533
cola;200;900;1615112;0.0452261306533
arreglo;200;900;7245472;0.0452261306533
cola;200;900;1610680;0.0452261306533
arreglo;200;920;7311836;0.0462311557789
cola;200;920;1694412;0.0462311557789
