vertices,nanoseconds_sorted,nanoseconds_random,nanoseconds_inverted
5,6327,13080,6057
5,5735,6094,5715
5,5379,5516,5640
5,5248,5460,5574
5,5341,5778,5568
5,5287,5525,5504
5,5244,5401,5328
5,5262,5780,5453
5,5312,5522,5439
5,5196,5465,5339
5,5431,5573,5509
5,5139,5642,5421
5,7835,5416,8675
5,7603,8431,7931
5,7290,7986,7731
5,7611,8376,7759
5,8021,8176,8342
5,8033,8641,8130
5,7648,7999,7909
5,7607,7807,8051
5,7435,8053,7878
5,7556,7911,7978
5,7350,8065,7935
5,7552,8034,7819
5,7606,8119,8318
5,7841,7981,8080
5,7725,7670,8083
5,7455,7727,8049
5,7390,7893,9802
5,7366,7241,7784
5,7913,7611,8154
5,5008,5480,5264
5,5035,5340,5442
5,4980,5478,5497
5,4942,5314,5134
5,5113,5264,5291
5,5233,5386,5313
5,4989,5099,5443
5,4917,5163,7759
5,5428,7773,5268
5,4988,5322,5311
5,5193,5145,5254
5,8802,41267,7926
5,5506,5793,5456
5,8235,12080,9061
5,8294,8861,8026
5,7819,8003,8374
5,7867,8566,8419
5,7755,9935,8353
5,7876,8345,7940
5,7680,7976,8109
5,8691,8425,12204
5,7643,8242,7722
5,7708,8214,8077
5,7429,7631,8268
5,7642,8219,7991
5,8044,8039,8718
5,7494,8157,8201
5,7137,7590,7652
5,7768,8127,8100
5,7973,7891,8137
5,8033,8462,8282
5,7825,8294,8102
5,7605,8193,7919
5,7647,8006,8582
5,7588,8028,8436
5,7532,7892,8407
5,7612,8031,8124
5,7560,7953,8293
5,7811,8050,8130
5,7314,8019,8258
5,7962,8000,8526
5,8087,7959,7905
5,7372,7795,8054
5,7766,8013,8494
5,7876,8384,8264
5,7663,8359,7893
5,7343,8136,8151
5,7867,8254,8120
5,7458,7639,8185
5,7605,7998,8371
5,7938,8115,8243
5,7499,8134,8160
5,7964,8327,8421
5,7709,8358,8013
5,7781,8524,8355
5,7786,8317,7857
5,7892,8452,7914
5,7442,7708,8034
5,6303,7735,5255
5,4918,5217,5347
5,5011,5243,5508
5,4910,5405,5389
5,4867,5229,5131
5,4957,5527,5213
5,5104,5393,5460
5,4927,5382,5240
5,4931,5219,5272
5,5119,5129,5439
5,4947,5420,5201
7,7442,8588,8383
7,7104,8272,8058
7,6894,8342,8222
7,7056,8314,7872
7,6760,8260,8018
7,6913,7652,8001
7,6788,7948,7802
7,6839,7996,8083
7,7130,8213,7873
7,6781,8310,7880
7,6915,8239,7728
