clients,factories,routes,nanoseconds
51,49,100,72424
51,49,100,61768
51,49,100,59507
51,49,100,72894
51,49,100,66974
51,49,100,69303
51,49,100,69126
51,49,100,65854
51,49,100,75030
51,49,100,45147
51,49,100,43874
51,49,100,65119
51,49,100,69763
51,49,100,72520
51,49,100,70053
51,49,100,72273
51,49,100,67178
51,49,100,69152
51,49,100,68931
51,49,100,68988
51,49,100,66752
51,49,100,66493
51,49,100,65920
51,49,100,70169
51,49,100,70057
51,49,100,71543
51,49,100,72051
51,49,100,70753
51,49,100,64850
51,49,100,71396
51,49,100,66766
51,49,100,66317
51,49,100,72414
51,49,100,71294
51,49,100,72568
51,49,100,69790
51,49,100,71687
51,49,100,66839
51,49,100,110910
51,49,100,82875
51,49,100,85729
51,49,100,79539
51,49,100,71104
51,49,100,70098
51,49,100,91468
51,49,100,70855
51,49,100,161387
51,49,100,85552
51,49,100,78033
51,49,100,76503
51,49,101,70970
51,49,101,87470
51,49,101,82041
51,49,101,79515
51,49,101,73101
51,49,101,82112
51,49,101,72899
51,49,101,66609
51,49,101,68915
51,49,101,71862
51,49,101,68229
51,49,101,113862
51,49,101,70252
51,49,101,70051
51,49,101,72142
51,49,101,98970
51,49,101,72819
51,49,101,96530
51,49,101,82273
51,49,101,84411
51,49,101,78420
51,49,101,79188
51,49,101,65996
51,49,101,89307
51,49,101,69108
51,49,101,85180
51,49,101,74104
51,49,101,82287
51,49,101,85346
51,49,101,70265
51,49,101,72815
51,49,101,69062
51,49,101,68304
51,49,101,70039
51,49,101,68744
51,49,101,67112
51,49,101,74083
51,49,101,82587
51,49,101,80594
51,49,101,86790
51,49,101,83259
51,49,101,81239
51,49,101,78401
51,49,101,76753
51,49,101,66042
51,49,101,73649
51,49,101,66791
51,49,101,65884
51,49,101,67149
51,49,101,70104
51,49,102,68097
51,49,102,70358
51,49,102,74576
51,49,102,97668
51,49,102,72440
51,49,102,71182
51,49,102,83601
51,49,102,92761
51,49,102,64706
51,49,102,64764
51,49,102,62514
51,49,102,73965
51,49,102,93770
51,49,102,83175
51,49,102,161800
51,49,102,88420
51,49,102,76511
51,49,102,84877
51,49,102,160145
51,49,102,129018
51,49,102,75102
51,49,102,98714
51,49,102,65970
51,49,102,78815
51,49,102,78210
51,49,102,77774
51,49,102,65263
51,49,102,90744
51,49,102,87204
51,49,102,76271
51,49,102,78685
51,49,102,68747
51,49,102,101795
51,49,102,82338
51,49,102,81485
51,49,102,71117
51,49,102,81641
51,49,102,396289
51,49,102,80192
51,49,102,94712
51,49,102,112850
51,49,102,79540
51,49,102,80584
51,49,102,98320
51,49,102,156893
51,49,102,76025
51,49,102,69529
51,49,102,67136
51,49,102,84740
51,49,102,77036
51,49,103,1.96689e+06
51,49,103,95612
51,49,103,76816
51,49,103,100402
51,49,103,83955
51,49,103,65393
51,49,103,73821
51,49,103,79699
51,49,103,69695
51,49,103,69202
51,49,103,72855
51,49,103,74112
51,49,103,178516
51,49,103,93221
51,49,103,86268
51,49,103,90184
51,49,103,68167
51,49,103,67611
51,49,103,64313
51,49,103,65942
51,49,103,71115
51,49,103,79714
51,49,103,92065
51,49,103,92165
51,49,103,68979
51,49,103,72354
51,49,103,68965
51,49,103,195110
51,49,103,80760
51,49,103,65149
51,49,103,69420
51,49,103,99475
51,49,103,85309
51,49,103,70513
51,49,103,72235
51,49,103,51585
51,49,103,49294
51,49,103,67414
51,49,103,67555
51,49,103,68874
51,49,103,71722
51,49,103,72855
51,49,103,65444
51,49,103,70966
51,49,103,68566
51,49,103,69013
51,49,103,69966
51,49,103,84445
51,49,103,68204
51,49,103,70065
51,49,104,72682
51,49,104,72236
51,49,104,66562
51,49,104,70577
51,49,104,66816
51,49,104,67386
51,49,104,71958
51,49,104,67064
51,49,104,69827
51,49,104,73729
51,49,104,73572
51,49,104,70960
51,49,104,64279
51,49,104,68093
51,49,104,71316
51,49,104,81131
51,49,104,87607
51,49,104,49451
51,49,104,45372
51,49,104,47632
51,49,104,71662
51,49,104,50305
51,49,104,49892
51,49,104,90038
51,49,104,113227
51,49,104,68636
51,49,104,70709
51,49,104,67179
51,49,104,51356
51,49,104,46837
51,49,104,43744
51,49,104,46047
51,49,104,71410
51,49,104,67434
51,49,104,72645
51,49,104,68014
51,49,104,65220
51,49,104,65140
51,49,104,45942
51,49,104,69745
51,49,104,66414
51,49,104,63411
51,49,104,71222
51,49,104,49989
51,49,104,47180
51,49,104,47882
51,49,104,44363
51,49,104,67513
51,49,104,73047
51,49,104,69208
51,49,105,50083
51,49,105,47147
51,49,105,48290
51,49,105,45932
51,49,105,47056
51,49,105,72696
51,49,105,72657
51,49,105,69526
51,49,105,92539
51,49,105,65900
51,49,105,75707
51,49,105,70064
51,49,105,71181
51,49,105,69154
51,49,105,71657
51,49,105,69086
51,49,105,63446
51,49,105,81958
51,49,105,92584
51,49,105,97035
51,49,105,91383
51,49,105,79929
51,49,105,75494
51,49,105,71187
51,49,105,71506
51,49,105,81648
51,49,105,63079
51,49,105,84540
51,49,105,51455
51,49,105,48426
51,49,105,74716
51,49,105,74559
51,49,105,67731
51,49,105,70105
51,49,105,68973
51,49,105,68311
51,49,105,68611
51,49,105,146310
51,49,105,66171
51,49,105,68856
51,49,105,65885
51,49,105,68634
51,49,105,69097
51,49,105,49509
51,49,105,46100
51,49,105,69386
51,49,105,70022
51,49,105,71088
51,49,105,69042
51,49,105,49428
51,49,106,44622
51,49,106,70953
51,49,106,45803
51,49,106,45525
51,49,106,45379
