factories,nanoseconds
101,1.60728e+08
101,1.59129e+08
101,1.62124e+08
101,1.62051e+08
101,1.60393e+08
101,1.59596e+08
101,1.59994e+08
101,1.66159e+08
101,1.58238e+08
101,1.57705e+08
101,1.59301e+08
101,1.567e+08
101,1.60912e+08
101,1.59151e+08
101,1.56845e+08
101,1.59294e+08
101,1.58578e+08
101,1.60243e+08
101,1.56022e+08
101,1.5985e+08
101,1.60724e+08
101,1.56282e+08
101,1.63697e+08
101,1.60137e+08
101,1.62823e+08
101,1.61727e+08
101,1.55624e+08
101,1.60097e+08
101,1.59117e+08
101,1.58026e+08
101,1.58811e+08
101,1.55627e+08
101,1.56279e+08
101,1.6149e+08
101,1.63904e+08
101,1.63658e+08
101,1.57205e+08
101,1.57573e+08
101,1.64401e+08
101,1.62363e+08
101,1.56803e+08
101,1.55967e+08
101,1.55941e+08
101,1.61082e+08
101,1.57899e+08
101,1.57093e+08
101,1.58574e+08
101,1.61403e+08
101,1.63843e+08
101,1.56296e+08
102,1.62133e+08
102,1.60772e+08
102,1.57347e+08
102,1.61996e+08
102,1.56523e+08
102,1.60669e+08
102,1.60356e+08
102,1.56693e+08
102,1.58544e+08
102,1.56241e+08
102,1.56697e+08
102,1.69706e+08
102,1.55757e+08
102,1.57617e+08
102,1.58414e+08
102,1.60651e+08
102,1.65276e+08
102,1.61678e+08
102,1.57121e+08
102,1.68151e+08
102,1.56004e+08
102,1.58075e+08
102,1.59038e+08
102,1.578e+08
102,1.61176e+08
102,1.56925e+08
102,1.58097e+08
102,1.56658e+08
102,1.5672e+08
102,1.60603e+08
102,1.57757e+08
102,1.65868e+08
102,1.55738e+08
102,1.57228e+08
102,1.65043e+08
102,1.61113e+08
102,1.60417e+08
102,1.57302e+08
102,1.61074e+08
102,1.62845e+08
102,1.59003e+08
102,1.59972e+08
102,1.6065e+08
102,1.59718e+08
102,1.63836e+08
102,1.57128e+08
102,1.56375e+08
102,1.60616e+08
102,1.56635e+08
102,1.62792e+08
103,1.5643e+08
103,1.58309e+08
103,1.60746e+08
103,1.58663e+08
103,1.60472e+08
103,1.56749e+08
103,1.60059e+08
103,1.68605e+08
103,1.56413e+08
103,1.61709e+08
103,1.5682e+08
103,1.60606e+08
103,1.62936e+08
103,1.58502e+08
103,1.60285e+08
103,1.59633e+08
103,1.56311e+08
103,1.60687e+08
103,1.59378e+08
103,1.6052e+08
103,1.5789e+08
103,1.60496e+08
103,1.57545e+08
103,1.5626e+08
103,1.61231e+08
103,1.62084e+08
103,1.57192e+08
103,1.59601e+08
103,1.56196e+08
103,1.56742e+08
103,1.73237e+08
103,1.56654e+08
103,1.59029e+08
103,1.56731e+08
103,1.63989e+08
103,1.62984e+08
103,1.62758e+08
103,1.59842e+08
103,1.60736e+08
103,1.59924e+08
103,1.58072e+08
103,1.56666e+08
103,1.63358e+08
103,1.58213e+08
103,1.58195e+08
103,1.61855e+08
103,1.58669e+08
103,1.60172e+08
103,1.60848e+08
103,1.57088e+08
104,1.56692e+08
104,1.59551e+08
104,1.60037e+08
104,1.64013e+08
104,1.59408e+08
104,1.56511e+08
104,1.55361e+08
104,1.61088e+08
104,1.57084e+08
104,1.55969e+08
104,1.55816e+08
104,1.6048e+08
104,1.67393e+08
104,1.5863e+08
104,1.60086e+08
104,1.56005e+08
104,1.61858e+08
104,1.57275e+08
104,1.60314e+08
104,1.56216e+08
104,1.6105e+08
104,1.60797e+08
104,1.57941e+08
104,1.57391e+08
104,1.60506e+08
104,1.61271e+08
104,1.6101e+08
104,1.61969e+08
104,1.60077e+08
104,1.58527e+08
104,1.57121e+08
104,1.603e+08
104,1.60051e+08
104,1.56012e+08
104,1.57423e+08
104,1.60573e+08
104,1.57023e+08
104,1.55828e+08
104,1.56522e+08
104,1.65657e+08
104,1.60266e+08
104,1.56211e+08
104,1.56996e+08
104,1.63165e+08
104,1.56405e+08
104,1.56272e+08
104,1.55864e+08
104,1.63036e+08
104,1.61165e+08
104,1.61459e+08
105,1.61277e+08
105,1.55918e+08
105,1.61115e+08
105,1.60997e+08
105,1.61061e+08
105,1.60177e+08
105,1.5773e+08
105,1.62953e+08
105,1.56792e+08
105,1.60597e+08
105,1.59964e+08
105,1.59731e+08
105,1.62829e+08
105,1.62348e+08
105,1.66169e+08
105,1.5905e+08
105,1.56473e+08
105,1.57614e+08
105,1.58215e+08
105,1.62931e+08
105,1.5615e+08
105,1.56629e+08
105,1.60726e+08
105,1.59784e+08
105,1.55621e+08
105,1.60909e+08
105,1.63649e+08
105,1.59173e+08
105,1.59856e+08
105,1.55806e+08
105,1.56596e+08
105,1.60728e+08
105,1.59801e+08
105,1.62614e+08
105,1.57992e+08
105,1.59905e+08
105,1.61078e+08
105,1.56011e+08
105,1.57105e+08
105,1.58914e+08
105,1.57794e+08
105,1.60393e+08
105,1.55783e+08
105,1.60834e+08
105,1.56723e+08
105,1.57685e+08
105,1.60094e+08
105,1.60605e+08
105,1.59808e+08
105,1.57291e+08
106,1.6091e+08
106,1.64948e+08
106,1.5583e+08
106,1.5874e+08
106,1.64627e+08
106,1.55189e+08
106,1.59121e+08
106,1.55256e+08
106,1.60448e+08
106,1.58569e+08
106,1.56531e+08
106,1.66446e+08
106,1.55483e+08
106,1.59036e+08
106,1.57259e+08
106,1.59443e+08
106,1.65356e+08
106,1.62759e+08
106,1.60501e+08
106,1.62015e+08
106,1.56113e+08
106,1.57845e+08
106,1.56555e+08
106,1.56233e+08
106,1.59755e+08
106,1.55918e+08
106,1.57413e+08
106,1.56589e+08
106,1.56449e+08
106,1.60065e+08
106,1.56567e+08
106,1.57736e+08
106,1.58068e+08
106,1.56301e+08
106,1.58091e+08
106,1.58661e+08
106,1.55718e+08
106,1.58088e+08
106,1.57451e+08
106,1.61778e+08
106,1.59021e+08
106,1.56108e+08
106,1.64471e+08
106,1.55959e+08
106,1.61059e+08
106,1.574e+08
106,1.5696e+08
106,1.59041e+08
106,1.55828e+08
106,1.58131e+08
107,1.60623e+08
107,1.60345e+08
107,1.67093e+08
107,1.56945e+08
107,1.57507e+08
107,1.59785e+08
107,1.5607e+08
107,1.57705e+08
107,1.57273e+08
107,1.56503e+08
107,1.60198e+08
107,1.5638e+08
107,1.60405e+08
107,1.59796e+08
107,1.57262e+08
107,1.66752e+08
107,1.60448e+08
107,1.60079e+08
107,1.60025e+08
107,1.59532e+08
107,1.63861e+08
107,1.5648e+08
107,1.57749e+08
