clients,factories,routes,nanoseconds
5,4,36,29876
5,4,36,16197
5,4,36,15624
5,4,36,16063
5,4,36,15038
5,4,36,15855
5,4,36,15753
5,4,36,15363
5,4,36,14671
5,4,36,14638
5,4,36,14415
5,4,36,15204
5,4,36,14675
5,4,36,15296
5,4,36,15332
5,4,36,14372
5,4,36,14744
5,4,36,15090
5,4,36,14951
5,4,36,14802
5,4,36,14819
5,4,36,15441
5,4,36,15072
5,4,36,15521
5,4,36,14778
5,4,36,15416
5,4,36,14836
5,4,36,15372
5,4,36,15004
5,4,36,15720
5,4,36,14754
5,4,36,15842
5,4,36,15419
5,4,36,15210
5,4,36,14883
5,4,36,14952
5,4,36,15010
5,4,36,15313
5,4,36,15820
5,4,36,14718
5,4,36,15043
5,4,36,14935
5,4,36,15686
5,4,36,14970
5,4,36,14329
5,4,36,14624
5,4,36,15877
5,4,36,15008
5,4,36,15835
5,4,36,14827
5,4,36,14536
5,4,36,15724
5,4,36,15231
5,4,36,15562
5,4,36,14785
5,4,36,14581
5,4,36,14390
5,4,36,14642
5,4,36,14279
5,4,36,14669
5,4,36,14350
5,4,36,14481
5,4,36,15538
5,4,36,15814
5,4,36,15496
5,4,36,14853
5,4,36,15356
5,4,36,15728
5,4,36,15137
5,4,36,14355
5,4,36,15236
5,4,36,15099
5,4,36,15078
5,4,36,14662
5,4,36,15884
5,4,36,14460
5,4,36,16249
5,4,36,14895
5,4,36,15204
5,4,36,15313
5,4,36,15415
5,4,36,15750
5,4,36,15604
5,4,36,14750
5,4,36,15108
5,4,36,15143
5,4,36,14888
5,4,36,15397
5,4,36,15723
5,4,36,14635
5,4,36,15059
5,4,36,15144
5,4,36,15457
5,4,36,14717
5,4,36,14482
5,4,36,15115
5,4,36,16016
5,4,36,14869
5,4,36,15081
5,4,36,15662
6,5,55,20803
6,5,55,20061
6,5,55,20699
6,5,55,20149
6,5,55,19504
6,5,55,19646
6,5,55,20139
6,5,55,19912
6,5,55,19680
6,5,55,21045
6,5,55,20409
6,5,55,20913
6,5,55,19066
6,5,55,19259
6,5,55,19277
6,5,55,19776
6,5,55,21286
6,5,55,20198
6,5,55,21188
6,5,55,20334
6,5,55,20912
6,5,55,22461
6,5,55,24106
6,5,55,21038
6,5,55,20405
6,5,55,20274
6,5,55,19664
6,5,55,28039
6,5,55,21980
6,5,55,14643
6,5,55,14290
6,5,55,14236
6,5,55,14205
6,5,55,14044
6,5,55,14351
6,5,55,15379
6,5,55,19442
6,5,55,19855
6,5,55,18529
6,5,55,19322
6,5,55,19198
6,5,55,18990
6,5,55,19218
6,5,55,19216
6,5,55,20014
6,5,55,19462
6,5,55,19012
6,5,55,19347
6,5,55,18960
6,5,55,19988
6,5,55,19241
6,5,55,19765
6,5,55,20050
6,5,55,18837
6,5,55,19145
6,5,55,19169
6,5,55,20119
6,5,55,18175
6,5,55,19655
6,5,55,19202
6,5,55,19997
6,5,55,19395
6,5,55,18670
6,5,55,19542
6,5,55,19461
6,5,55,19604
6,5,55,19088
6,5,55,19557
6,5,55,19672
6,5,55,20269
6,5,55,19292
6,5,55,19563
6,5,55,19403
6,5,55,19388
6,5,55,19431
6,5,55,19121
6,5,55,18733
6,5,55,19747
6,5,55,19016
6,5,55,19212
6,5,55,18979
6,5,55,19015
6,5,55,19474
6,5,55,19847
6,5,55,19357
6,5,55,19333
6,5,55,19662
6,5,55,19848
6,5,55,19268
6,5,55,19925
6,5,55,19178
6,5,55,18638
6,5,55,20230
6,5,55,19826
6,5,55,19414
6,5,55,19278
6,5,55,19153
6,5,55,18774
6,5,55,19352
6,5,55,19329
7,6,78,31204
7,6,78,25042
7,6,78,25366
7,6,78,24887
7,6,78,25247
7,6,78,24580
7,6,78,24471
7,6,78,24675
7,6,78,24148
7,6,78,24145
7,6,78,24000
7,6,78,24881
7,6,78,25520
7,6,78,25064
7,6,78,24406
7,6,78,24929
7,6,78,25341
7,6,78,24439
7,6,78,25016
7,6,78,24668
7,6,78,23918
7,6,78,25470
7,6,78,25244
7,6,78,25359
7,6,78,25438
7,6,78,26016
7,6,78,24582
7,6,78,24434
7,6,78,25103
7,6,78,24238
7,6,78,24472
7,6,78,24697
7,6,78,25107
7,6,78,26750
7,6,78,25498
7,6,78,24554
7,6,78,25030
7,6,78,25210
7,6,78,25130
7,6,78,24782
7,6,78,24846
7,6,78,25053
7,6,78,24074
7,6,78,24328
7,6,78,25230
7,6,78,24303
7,6,78,24083
7,6,78,24644
7,6,78,23958
7,6,78,24854
7,6,78,25645
7,6,78,26232
7,6,78,24855
7,6,78,24781
7,6,78,24428
7,6,78,25177
7,6,78,24796
7,6,78,24874
7,6,78,24074
7,6,78,24464
7,6,78,25110
7,6,78,25262
7,6,78,23846
7,6,78,25098
7,6,78,24760
7,6,78,25027
7,6,78,24406
7,6,78,23629
7,6,78,25159
7,6,78,24887
7,6,78,24101
7,6,78,25855
7,6,78,24843
7,6,78,24207
7,6,78,24674
7,6,78,24391
7,6,78,25318
7,6,78,24889
7,6,78,24463
7,6,78,24894
7,6,78,24991
7,6,78,25295
7,6,78,25414
7,6,78,26259
7,6,78,24455
7,6,78,24194
7,6,78,24493
7,6,78,24490
7,6,78,25273
7,6,78,23816
7,6,78,23743
7,6,78,24700
7,6,78,25609
7,6,78,25326
7,6,78,24222
7,6,78,25545
7,6,78,24464
7,6,78,524590
7,6,78,64396
7,6,78,83569
8,7,105,217704
8,7,105,36054
8,7,105,33327
8,7,105,33365
8,7,105,32532
8,7,105,31127
8,7,105,33237
8,7,105,32340
8,7,105,31727
8,7,105,33274
8,7,105,45843
8,7,105,89517
8,7,105,60670
8,7,105,35634
8,7,105,25944
8,7,105,23258
8,7,105,22758
8,7,105,23574
8,7,105,23760
8,7,105,23411
8,7,105,23839
8,7,105,23840
8,7,105,23558
8,7,105,23256
8,7,105,22709
8,7,105,23646
8,7,105,23238
8,7,105,22970
8,7,105,22603
8,7,105,22697
8,7,105,23763
8,7,105,23100
8,7,105,23486
8,7,105,24084
8,7,105,23815
8,7,105,23642
8,7,105,23078
8,7,105,23333
8,7,105,23527
8,7,105,38366
8,7,105,31213
8,7,105,37903
8,7,105,33708
8,7,105,33211
8,7,105,33220
8,7,105,33978
8,7,105,34261
8,7,105,31308
8,7,105,33294
8,7,105,24859
8,7,105,23387
8,7,105,23044
8,7,105,22138
8,7,105,23682
8,7,105,22989
8,7,105,23070
8,7,105,23139
8,7,105,23529
8,7,105,23420
8,7,105,22817
8,7,105,23730
8,7,105,23179
8,7,105,23775
8,7,105,22902
8,7,105,23115
8,7,105,23065
8,7,105,22914
8,7,105,23842
8,7,105,23511
8,7,105,22931
8,7,105,23064
8,7,105,22797
8,7,105,23821
8,7,105,23124
8,7,105,23087
8,7,105,23351
8,7,105,22510
8,7,105,23865
8,7,105,23683
8,7,105,23094
8,7,105,23939
8,7,105,24212
8,7,105,23340
8,7,105,23335
8,7,105,24331
8,7,105,22587
8,7,105,23810
8,7,105,23408
8,7,105,23830
8,7,105,23747
8,7,105,23149
8,7,105,24034
8,7,105,22858
8,7,105,24027
8,7,105,22559
8,7,105,29403
8,7,105,32961
8,7,105,31014
8,7,105,30702
8,7,105,31131
9,8,136,40758
9,8,136,43473
9,8,136,41215
9,8,136,50611
9,8,136,49238
9,8,136,40138
9,8,136,41536
9,8,136,35973
9,8,136,28853
9,8,136,29312
9,8,136,29968
9,8,136,28859
9,8,136,39742
9,8,136,51539
9,8,136,52814
9,8,136,47229
9,8,136,40310
9,8,136,47428
9,8,136,37771
9,8,136,40593
9,8,136,49374
