vertices,nanoseconds_sorted,nanoseconds_random,nanoseconds_inverted
5,8275,16100,8830
5,7734,8383,8101
5,7704,8074,8075
5,7472,8160,7919
5,7506,7990,8194
5,7347,7975,7756
5,7419,7583,7746
5,7568,8087,7920
5,7449,7726,7776
5,7384,8011,7760
5,7508,7864,7690
5,7347,7927,7910
5,7439,7832,7968
5,7385,7893,7826
5,7538,7928,7931
5,7384,7982,7722
5,7434,7802,7991
5,7383,7993,7763
5,7509,7790,8008
5,7327,7738,7646
5,7569,7761,7929
5,7355,7666,7488
5,7477,8004,7851
5,7220,8023,8030
5,7325,8125,8030
5,7270,7715,7815
5,7350,8119,7851
5,7869,7812,7856
5,7535,7852,7860
5,7427,7932,7672
5,7387,7767,7861
5,7356,8026,7872
5,7440,7905,7694
5,7455,8016,7876
5,7537,7663,7825
5,7553,7941,7708
5,7274,7979,8017
5,7477,7920,7750
5,7383,7864,8143
5,7393,8074,7663
5,7381,7776,8049
5,7524,7908,7737
5,7550,7941,7946
5,7558,8062,7929
5,7358,7978,7721
5,7296,7942,7834
5,7605,7756,8074
5,7289,7908,7813
5,7267,8017,8048
5,7313,7970,7725
5,7371,7670,7803
5,7227,7606,7403
5,7502,7854,7841
5,7288,8033,7894
5,7410,7848,7955
5,7580,8141,7778
5,7122,7687,7745
5,7287,7558,7483
5,7434,7524,7878
5,7746,7987,7680
5,7385,7638,7989
5,7233,7882,7866
5,7321,7720,8032
5,7452,7980,7980
5,7672,7964,8043
5,7384,7904,7662
5,7475,7940,7990
5,7401,7589,7653
5,7560,7606,7851
5,7339,7772,7741
5,7525,7850,8023
5,7374,7728,7522
5,7322,7992,7881
5,7551,8001,7998
5,7219,7674,7740
5,7368,7750,7806
5,7448,7964,7754
5,7457,7902,7895
5,7543,7728,8124
5,7439,8014,7902
5,7634,7856,7832
5,7554,7947,7844
5,7461,7695,7880
5,7261,8106,7934
5,7289,7550,7953
5,7455,7858,7707
5,7322,7974,7985
5,7228,7753,7780
5,7582,7880,7842
5,7411,7581,7477
5,7322,7831,7979
5,7269,7993,7544
5,7367,7899,7783
5,7158,7926,7789
5,7480,7832,7734
5,11194,7530,7561
5,7701,7873,86586
5,7447,8144,7831
5,7624,7978,8058
5,7787,8160,7935
7,10100,12635,11971
7,10548,11597,12300
7,10566,12108,12203
7,10106,11916,11600
7,9953,12052,12041
7,7599,21204,9902
7,7134,8802,8246
7,7178,8465,8203
7,6998,8270,8071
7,6775,8094,7940
7,6817,8370,7962
7,6675,8128,8158
7,7141,8162,7997
7,6792,7855,8007
7,6776,8077,8117
7,6804,8326,7921
7,6761,8394,7895
7,6790,8453,7746
7,6793,8104,8243
7,6800,8013,8123
7,6809,7784,8005
7,6762,8091,7937
7,6761,7511,8007
7,6731,7638,7912
7,14078,17550,13668
7,9811,11383,11987
7,10482,11432,12371
7,6842,8218,7841
7,7049,8186,7936
7,6993,8188,8207
7,6832,7935,8084
7,6860,8015,7798
7,6849,8268,7941
7,7054,7991,7961
7,6565,8298,8120
7,6734,8177,8002
7,6798,8011,8055
7,6652,7982,7910
7,6769,7961,7947
7,6870,8357,8013
